Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Tangled,2010,Donna Murphy,"Nov 24, 2010",260000000,200821936,583777242.0
Tangled,2010,Ron Perlman,"Nov 24, 2010",260000000,200821936,583777242.0
Godzilla,2014,Aaron Taylor-Johnson,"May 14, 2014",160000000,200676069,529076069.0
Godzilla,2014,Elizabeth Olsen,"May 14, 2014",160000000,200676069,529076069.0
Godzilla,2014,Bryan Cranston,"May 14, 2014",160000000,200676069,529076069.0
Godzilla,2014,Ken Watanabe,"May 14, 2014",160000000,200676069,529076069.0
Superman Returns,2006,Brandon Routh,"Jun 28, 2006",232000000,200120000,391081192.0
Superman Returns,2006,Kevin Spacey,"Jun 28, 2006",232000000,200120000,391081192.0
Superman Returns,2006,Kate Bosworth,"Jun 28, 2006",232000000,200120000,391081192.0
Superman Returns,2006,James Marsden,"Jun 28, 2006",232000000,200120000,391081192.0
Spectre,2015,Daniel Craig,"Oct 6, 2015",300000000,200074175,879077344.0
Spectre,2015,Christoph Waltz,"Oct 6, 2015",300000000,200074175,879077344.0
Spectre,2015,Léa Seydoux,"Oct 6, 2015",300000000,200074175,879077344.0
Spectre,2015,Ralph Fiennes,"Oct 6, 2015",300000000,200074175,879077344.0
Gone with the Wind,1939,Clark Gable,"Dec 15, 1939",3900000,198680470,390525192.0
Gone with the Wind,1939,Vivien Leigh,"Dec 15, 1939",3900000,198680470,390525192.0
Gone with the Wind,1939,Thomas Mitchell,"Dec 15, 1939",3900000,198680470,390525192.0
Gone with the Wind,1939,Barbara O'Neil,"Dec 15, 1939",3900000,198680470,390525192.0
Pearl Harbor,2001,Ben Affleck,"May 25, 2001",151500000,198539855,449239853.0
Pearl Harbor,2001,Kate Beckinsale,"May 25, 2001",151500000,198539855,449239853.0
Pearl Harbor,2001,Josh Hartnett,"May 25, 2001",151500000,198539855,449239853.0
Pearl Harbor,2001,William Lee Scott,"May 25, 2001",151500000,198539855,449239853.0
Monsters vs. Aliens,2009,Reese Witherspoon,"Mar 27, 2009",175000000,198351526,381687380.0
Monsters vs. Aliens,2009,Rainn Wilson,"Mar 27, 2009",175000000,198351526,381687380.0
Monsters vs. Aliens,2009,Stephen Colbert,"Mar 27, 2009",175000000,198351526,381687380.0
Monsters vs. Aliens,2009,Seth Rogen,"Mar 27, 2009",175000000,198351526,381687380.0
Happy Feet,2006,Elijah Wood,"Nov 17, 2006",85000000,198000317,385000315.0
Happy Feet,2006,Brittany Murphy,"Nov 17, 2006",85000000,198000317,385000315.0
Happy Feet,2006,Hugh Jackman,"Nov 17, 2006",85000000,198000317,385000315.0
Happy Feet,2006,Robin Williams,"Nov 17, 2006",85000000,198000317,385000315.0
Indiana Jones and the Last Crusade,1989,Harrison Ford,"May 24, 1989",48000000,197171806,474171806.0
Indiana Jones and the Last Crusade,1989,Sean Connery,"May 24, 1989",48000000,197171806,474171806.0
Indiana Jones and the Last Crusade,1989,Alison Doody,"May 24, 1989",48000000,197171806,474171806.0
Indiana Jones and the Last Crusade,1989,Denholm Elliott,"May 24, 1989",48000000,197171806,474171806.0
Ice Age: Dawn of the Dinosaurs,2009,Ray Romano,"Jul 1, 2009",90000000,196573705,886686817.0
Ice Age: Dawn of the Dinosaurs,2009,John Leguizamo,"Jul 1, 2009",90000000,196573705,886686817.0
Ice Age: Dawn of the Dinosaurs,2009,Denis Leary,"Jul 1, 2009",90000000,196573705,886686817.0
Ice Age: Dawn of the Dinosaurs,2009,Eunice Cho,"Jul 1, 2009",90000000,196573705,886686817.0
Ice Age: The Meltdown,2006,Ray Romano,"Mar 31, 2006",75000000,195330621,651899282.0
Ice Age: The Meltdown,2006,John Leguizamo,"Mar 31, 2006",75000000,195330621,651899282.0
Ice Age: The Meltdown,2006,Denis Leary,"Mar 31, 2006",75000000,195330621,651899282.0
Ice Age: The Meltdown,2006,Seann William Scott,"Mar 31, 2006",75000000,195330621,651899282.0
Madagascar,2005,Chris Rock,"May 27, 2005",75000000,193595521,556559566.0
Madagascar,2005,Ben Stiller,"May 27, 2005",75000000,193595521,556559566.0
Madagascar,2005,David Schwimmer,"May 27, 2005",75000000,193595521,556559566.0
Madagascar,2005,Jada Pinkett Smith,"May 27, 2005",75000000,193595521,556559566.0
Toy Story,1995,Tom Hanks,"Nov 22, 1995",30000000,192523233,365270951.0
Toy Story,1995,Tim Allen,"Nov 22, 1995",30000000,192523233,365270951.0
Toy Story,1995,Don Rickles,"Nov 22, 1995",30000000,192523233,365270951.0
Toy Story,1995,Jim Varney,"Nov 22, 1995",30000000,192523233,365270951.0
22 Jump Street,2014,Channing Tatum,"Jun 5, 2014",50000000,191719337,331333876.0
22 Jump Street,2014,Jonah Hill,"Jun 5, 2014",50000000,191719337,331333876.0
22 Jump Street,2014,Ice Cube,"Jun 5, 2014",50000000,191719337,331333876.0
22 Jump Street,2014,Nick Offerman,"Jun 5, 2014",50000000,191719337,331333876.0
Twilight,2008,Kristen Stewart,"Nov 21, 2008",37000000,192769854,402278564.0
Twilight,2008,Robert Pattinson,"Nov 21, 2008",37000000,192769854,402278564.0
Twilight,2008,Billy Burke,"Nov 21, 2008",37000000,192769854,402278564.0
Twilight,2008,Sarah Clarke,"Nov 21, 2008",37000000,192769854,402278564.0
Cars 2,2011,Owen Wilson,"Jun 23, 2011",200000000,191450875,560155383.0
Cars 2,2011,Larry the Cable Guy,"Jun 23, 2011",200000000,191450875,560155383.0
Cars 2,2011,Michael Caine,"Jun 23, 2011",200000000,191450875,560155383.0
Cars 2,2011,Emily Mortimer,"Jun 23, 2011",200000000,191450875,560155383.0
Teenage Mutant Ninja Turtles,2014,Megan Fox,"Aug 8, 2014",125000000,191204754,485004754.0
Teenage Mutant Ninja Turtles,2014,Will Arnett,"Aug 8, 2014",125000000,191204754,485004754.0
Teenage Mutant Ninja Turtles,2014,William Fichtner,"Aug 8, 2014",125000000,191204754,485004754.0
Teenage Mutant Ninja Turtles,2014,Noel Fisher,"Aug 8, 2014",125000000,191204754,485004754.0
Wreck-It Ralph,2012,John C. Reilly,"Nov 1, 2012",165000000,189412677,496511521.0
Wreck-It Ralph,2012,Jack McBrayer,"Nov 1, 2012",165000000,189412677,496511521.0
Wreck-It Ralph,2012,Jane Lynch,"Nov 1, 2012",165000000,189412677,496511521.0
Wreck-It Ralph,2012,Sarah Silverman,"Nov 1, 2012",165000000,189412677,496511521.0
Grease,1978,John Travolta,"Jun 16, 1978",6000000,181813770,387472317.0
Grease,1978,Olivia Newton-John,"Jun 16, 1978",6000000,181813770,387472317.0
Grease,1978,Stockard Channing,"Jun 16, 1978",6000000,181813770,387472317.0
Grease,1978,Jeff Conaway,"Jun 16, 1978",6000000,181813770,387472317.0
Dunkirk,2017,Fionn Whitehead,"Jul 18, 2017",150000000,190068280,518058826.0
Dunkirk,2017,Barry Keoghan,"Jul 18, 2017",150000000,190068280,518058826.0
Dunkirk,2017,Mark Rylance,"Jul 18, 2017",150000000,190068280,518058826.0
Dunkirk,2017,Tom Hardy,"Jul 18, 2017",150000000,190068280,518058826.0
A Quiet Place,2018,Emily Blunt,"Apr 4, 2018",17000000,188024361,334876670.0
A Quiet Place,2018,John Krasinski,"Apr 4, 2018",17000000,188024361,334876670.0
A Quiet Place,2018,Millicent Simmonds,"Apr 4, 2018",17000000,188024361,334876670.0
A Quiet Place,2018,Noah Jupe,"Apr 4, 2018",17000000,188024361,334876670.0
Interstellar,2014,Matthew McConaughey,"Nov 5, 2014",165000000,188017894,648909648.0
Interstellar,2014,Anne Hathaway,"Nov 5, 2014",165000000,188017894,648909648.0
Interstellar,2014,Jessica Chastain,"Nov 5, 2014",165000000,188017894,648909648.0
Interstellar,2014,Mackenzie Foy,"Nov 5, 2014",165000000,188017894,648909648.0
Gladiator,2000,Russell Crowe,"May 4, 2000",103000000,187683805,456435588.0
Gladiator,2000,Joaquin Phoenix,"May 4, 2000",103000000,187683805,456435588.0
Gladiator,2000,Connie Nielsen,"May 4, 2000",103000000,187683805,456435588.0
Gladiator,2000,Oliver Reed,"May 4, 2000",103000000,187683805,456435588.0
The Croods,2013,Nicolas Cage,"Mar 15, 2013",135000000,187168425,573068425.0
The Croods,2013,Ryan Reynolds,"Mar 15, 2013",135000000,187168425,573068425.0
The Croods,2013,Emma Stone,"Mar 15, 2013",135000000,187168425,573068425.0
The Croods,2013,Catherine Keener,"Mar 15, 2013",135000000,187168425,573068425.0
Sherlock Holmes: A Game of Shadows,2011,Robert Downey Jr.,"Dec 16, 2011",125000000,186848418,535663443.0
Sherlock Holmes: A Game of Shadows,2011,Jude Law,"Dec 16, 2011",125000000,186848418,535663443.0
Sherlock Holmes: A Game of Shadows,2011,Jared Harris,"Dec 16, 2011",125000000,186848418,535663443.0
Sherlock Holmes: A Game of Shadows,2011,Rachel McAdams,"Dec 16, 2011",125000000,186848418,535663443.0
The Day After Tomorrow,2004,Dennis Quaid,"May 27, 2004",125000000,186740799,555840117.0
The Day After Tomorrow,2004,Jake Gyllenhaal,"May 27, 2004",125000000,186740799,555840117.0
The Day After Tomorrow,2004,Emmy Rossum,"May 27, 2004",125000000,186740799,555840117.0
The Day After Tomorrow,2004,Dash Mihok,"May 27, 2004",125000000,186740799,555840117.0
Pitch Perfect 2,2015,Anna Kendrick,"May 7, 2015",29000000,184296230,287215196.0
Pitch Perfect 2,2015,Rebel Wilson,"May 7, 2015",29000000,184296230,287215196.0
Pitch Perfect 2,2015,Hailee Steinfeld,"May 7, 2015",29000000,184296230,287215196.0
Pitch Perfect 2,2015,Brittany Snow,"May 7, 2015",29000000,184296230,287215196.0
Dances with Wolves,1990,Kevin Costner,"Nov 9, 1990",19000000,184208842,424208805.0
Dances with Wolves,1990,Mary McDonnell,"Nov 9, 1990",19000000,184208842,424208805.0
Dances with Wolves,1990,Graham Greene,"Nov 9, 1990",19000000,184208842,424208805.0
Dances with Wolves,1990,Rodney A. Grant,"Nov 9, 1990",19000000,184208842,424208805.0
Batman Forever,1995,Val Kilmer,"Jun 16, 1995",100000000,184031112,336529144.0
Batman Forever,1995,Tommy Lee Jones,"Jun 16, 1995",100000000,184031112,336529144.0
Batman Forever,1995,Jim Carrey,"Jun 16, 1995",100000000,184031112,336529144.0
Batman Forever,1995,Nicole Kidman,"Jun 16, 1995",100000000,184031112,336529144.0
The Fugitive,1993,Harrison Ford,"Aug 6, 1993",44000000,183875760,353715317.0
The Fugitive,1993,Tommy Lee Jones,"Aug 6, 1993",44000000,183875760,353715317.0
The Fugitive,1993,Sela Ward,"Aug 6, 1993",44000000,183875760,353715317.0
The Fugitive,1993,Julianne Moore,"Aug 6, 1993",44000000,183875760,353715317.0
Black Widow,2021,Scarlett Johansson,"Jul 7, 2021",200000000,183651655,379751131.0
Black Widow,2021,Florence Pugh,"Jul 7, 2021",200000000,183651655,379751131.0
Black Widow,2021,David Harbour,"Jul 7, 2021",200000000,183651655,379751131.0
Black Widow,2021,Rachel Weisz,"Jul 7, 2021",200000000,183651655,379751131.0
The Revenant,2015,Leonardo DiCaprio,"Dec 25, 2015",135000000,183637894,532938302.0
The Revenant,2015,Tom Hardy,"Dec 25, 2015",135000000,183637894,532938302.0
The Revenant,2015,Will Poulter,"Dec 25, 2015",135000000,183637894,532938302.0
The Revenant,2015,Domhnall Gleeson,"Dec 25, 2015",135000000,183637894,532938302.0
Ocean's Eleven,2001,George Clooney,"Dec 7, 2001",85000000,183417150,450728529.0
Ocean's Eleven,2001,Brad Pitt,"Dec 7, 2001",85000000,183417150,450728529.0
Ocean's Eleven,2001,Julia Roberts,"Dec 7, 2001",85000000,183417150,450728529.0
Ocean's Eleven,2001,Matt Damon,"Dec 7, 2001",85000000,183417150,450728529.0
The Polar Express,2004,Tom Hanks,"Nov 10, 2004",170000000,188578855,312719437.0
The Polar Express,2004,Chris Coppola,"Nov 10, 2004",170000000,188578855,312719437.0
The Polar Express,2004,Michael Jeter,"Nov 10, 2004",170000000,188578855,312719437.0
The Polar Express,2004,Leslie Zemeckis,"Nov 10, 2004",170000000,188578855,312719437.0
The Simpsons Movie,2007,Dan Castellaneta,"Jul 26, 2007",72500000,183135014,527071022.0
The Simpsons Movie,2007,Julie Kavner,"Jul 26, 2007",72500000,183135014,527071022.0
The Simpsons Movie,2007,Nancy Cartwright,"Jul 26, 2007",72500000,183135014,527071022.0
The Simpsons Movie,2007,Yeardley Smith,"Jul 26, 2007",72500000,183135014,527071022.0
What Women Want,2000,Mel Gibson,"Dec 15, 2000",65000000,182805123,374105123.0
What Women Want,2000,Helen Hunt,"Dec 15, 2000",65000000,182805123,374105123.0
What Women Want,2000,Marisa Tomei,"Dec 15, 2000",65000000,182805123,374105123.0
What Women Want,2000,Alan Alda,"Dec 15, 2000",65000000,182805123,374105123.0
The Perfect Storm,2000,George Clooney,"Jun 30, 2000",120000000,182618434,328711434.0
The Perfect Storm,2000,Mark Wahlberg,"Jun 30, 2000",120000000,182618434,328711434.0
The Perfect Storm,2000,John C. Reilly,"Jun 30, 2000",120000000,182618434,328711434.0
The Perfect Storm,2000,Diane Lane,"Jun 30, 2000",120000000,182618434,328711434.0
Lincoln,2012,Daniel Day-Lewis,"Nov 9, 2012",65000000,182207973,273346281.0
Lincoln,2012,Sally Field,"Nov 9, 2012",65000000,182207973,273346281.0
Lincoln,2012,David Strathairn,"Nov 9, 2012",65000000,182207973,273346281.0
Lincoln,2012,Joseph Gordon-Levitt,"Nov 9, 2012",65000000,182207973,273346281.0
Liar Liar,1997,Jim Carrey,"Mar 21, 1997",45000000,181410615,302710615.0
Liar Liar,1997,Maura Tierney,"Mar 21, 1997",45000000,181410615,302710615.0
Liar Liar,1997,Amanda Donohoe,"Mar 21, 1997",45000000,181410615,302710615.0
Liar Liar,1997,Jennifer Tilly,"Mar 21, 1997",45000000,181410615,302710615.0
Jurassic Park III,2001,Sam Neill,"Jul 18, 2001",93000000,181166115,365900000.0
Jurassic Park III,2001,William H. Macy,"Jul 18, 2001",93000000,181166115,365900000.0
Jurassic Park III,2001,Téa Leoni,"Jul 18, 2001",93000000,181166115,365900000.0
Jurassic Park III,2001,Alessandro Nivola,"Jul 18, 2001",93000000,181166115,365900000.0
Thor,2011,Chris Hemsworth,"Apr 29, 2011",150000000,181030624,449326618.0
Thor,2011,Anthony Hopkins,"Apr 29, 2011",150000000,181030624,449326618.0
Thor,2011,Natalie Portman,"Apr 29, 2011",150000000,181030624,449326618.0
Thor,2011,Tom Hiddleston,"Apr 29, 2011",150000000,181030624,449326618.0
Mission: Impossible,1996,Tom Cruise,"May 21, 1996",80000000,180981886,457697994.0
Mission: Impossible,1996,Jon Voight,"May 21, 1996",80000000,180981886,457697994.0
Mission: Impossible,1996,Emmanuelle Béart,"May 21, 1996",80000000,180981886,457697994.0
Mission: Impossible,1996,Henry Czerny,"May 21, 1996",80000000,180981886,457697994.0
Ant-Man,2015,Paul Rudd,"Jul 14, 2015",130000000,180202163,518858449.0
Ant-Man,2015,Michael Douglas,"Jul 14, 2015",130000000,180202163,518858449.0
Ant-Man,2015,Corey Stoll,"Jul 14, 2015",130000000,180202163,518858449.0
Ant-Man,2015,Evangeline Lilly,"Jul 14, 2015",130000000,180202163,518858449.0
Planet of the Apes,2001,Mark Wahlberg,"Jul 27, 2001",100000000,180011740,362211740.0
Planet of the Apes,2001,Helena Bonham Carter,"Jul 27, 2001",100000000,180011740,362211740.0
Planet of the Apes,2001,Tim Roth,"Jul 27, 2001",100000000,180011740,362211740.0
Planet of the Apes,2001,Michael Clarke Duncan,"Jul 27, 2001",100000000,180011740,362211740.0
Madagascar: Escape 2 Africa,2008,Ben Stiller,"Nov 7, 2008",150000000,180174880,599680774.0
Madagascar: Escape 2 Africa,2008,Chris Rock,"Nov 7, 2008",150000000,180174880,599680774.0
Madagascar: Escape 2 Africa,2008,David Schwimmer,"Nov 7, 2008",150000000,180174880,599680774.0
Madagascar: Escape 2 Africa,2008,Jada Pinkett Smith,"Nov 7, 2008",150000000,180174880,599680774.0
X-Men Origins: Wolverine,2009,Hugh Jackman,"May 1, 2009",150000000,179883157,374825760.0
X-Men Origins: Wolverine,2009,Liev Schreiber,"May 1, 2009",150000000,179883157,374825760.0
X-Men Origins: Wolverine,2009,Ryan Reynolds,"May 1, 2009",150000000,179883157,374825760.0
X-Men Origins: Wolverine,2009,Danny Huston,"May 1, 2009",150000000,179883157,374825760.0
Indiana Jones and the Temple of Doom,1984,Harrison Ford,"May 23, 1984",28000000,179880271,333080271.0
Indiana Jones and the Temple of Doom,1984,Kate Capshaw,"May 23, 1984",28000000,179880271,333080271.0
Indiana Jones and the Temple of Doom,1984,Ke Huy Quan,"May 23, 1984",28000000,179880271,333080271.0
Indiana Jones and the Temple of Doom,1984,Amrish Puri,"May 23, 1984",28000000,179880271,333080271.0
Top Gun,1986,Tom Cruise,"May 16, 1986",15000000,180470489,357469522.0
Top Gun,1986,Tim Robbins,"May 16, 1986",15000000,180470489,357469522.0
Top Gun,1986,Kelly McGillis,"May 16, 1986",15000000,180470489,357469522.0
Top Gun,1986,Val Kilmer,"May 16, 1986",15000000,180470489,357469522.0
Hitch,2005,Will Smith,"Feb 11, 2005",55000000,177784257,366784257.0
Hitch,2005,Eva Mendes,"Feb 11, 2005",55000000,177784257,366784257.0
Hitch,2005,Kevin James,"Feb 11, 2005",55000000,177784257,366784257.0
Hitch,2005,Amber Valletta,"Feb 11, 2005",55000000,177784257,366784257.0
Men in Black 3,2012,Will Smith,"May 23, 2012",215000000,179020854,654213485.0
Men in Black 3,2012,Tommy Lee Jones,"May 23, 2012",215000000,179020854,654213485.0
Men in Black 3,2012,Josh Brolin,"May 23, 2012",215000000,179020854,654213485.0
Men in Black 3,2012,Jemaine Clement,"May 23, 2012",215000000,179020854,654213485.0
Rain Man,1988,Dustin Hoffman,"Dec 16, 1988",25000000,172825435,412800000.0
Rain Man,1988,Tom Cruise,"Dec 16, 1988",25000000,172825435,412800000.0
Rain Man,1988,Valeria Golino,"Dec 16, 1988",25000000,172825435,412800000.0
Rain Man,1988,Gerald R. Molen,"Dec 16, 1988",25000000,172825435,412800000.0
Pretty Woman,1990,Richard Gere,"Mar 23, 1990",14000000,178406268,432566361.0
Pretty Woman,1990,Julia Roberts,"Mar 23, 1990",14000000,178406268,432566361.0
Pretty Woman,1990,Jason Alexander,"Mar 23, 1990",14000000,178406268,432566361.0
Pretty Woman,1990,Laura San Giacomo,"Mar 23, 1990",14000000,178406268,432566361.0
Home,2015,Jim Parsons,"Mar 19, 2015",130000000,177397510,385997896.0
Home,2015,Rihanna,"Mar 19, 2015",130000000,177397510,385997896.0
Home,2015,Steve Martin,"Mar 19, 2015",130000000,177397510,385997896.0
Home,2015,Jennifer Lopez,"Mar 19, 2015",130000000,177397510,385997896.0
Night at the Museum: Battle of the Smithsonian,2009,Ben Stiller,"May 22, 2009",150000000,177243721,402231063.0
Night at the Museum: Battle of the Smithsonian,2009,Owen Wilson,"May 22, 2009",150000000,177243721,402231063.0
Night at the Museum: Battle of the Smithsonian,2009,Amy Adams,"May 22, 2009",150000000,177243721,402231063.0
Night at the Museum: Battle of the Smithsonian,2009,Hank Azaria,"May 22, 2009",150000000,177243721,402231063.0
Tootsie,1982,Dustin Hoffman,"Dec 17, 1982",15000000,177200000,177200262.0
Tootsie,1982,Jessica Lange,"Dec 17, 1982",15000000,177200000,177200262.0
Tootsie,1982,Teri Garr,"Dec 17, 1982",15000000,177200000,177200262.0
Tootsie,1982,Dabney Coleman,"Dec 17, 1982",15000000,177200000,177200262.0
How to Train Your Dragon 2,2014,Jay Baruchel,"Jun 5, 2014",145000000,177002924,614586270.0
How to Train Your Dragon 2,2014,Cate Blanchett,"Jun 5, 2014",145000000,177002924,614586270.0
How to Train Your Dragon 2,2014,Gerard Butler,"Jun 5, 2014",145000000,177002924,614586270.0
How to Train Your Dragon 2,2014,Craig Ferguson,"Jun 5, 2014",145000000,177002924,614586270.0
Rise of the Planet of the Apes,2011,James Franco,"Aug 5, 2011",93000000,176760185,470986200.0
Rise of the Planet of the Apes,2011,Andy Serkis,"Aug 5, 2011",93000000,176760185,470986200.0
Rise of the Planet of the Apes,2011,Freida Pinto,"Aug 5, 2011",93000000,176760185,470986200.0
Rise of the Planet of the Apes,2011,Karin Konoval,"Aug 5, 2011",93000000,176760185,470986200.0
Captain America: The First Avenger,2011,Chris Evans,"Jul 22, 2011",140000000,176654505,370569776.0
Captain America: The First Avenger,2011,Hugo Weaving,"Jul 22, 2011",140000000,176654505,370569776.0
Captain America: The First Avenger,2011,Samuel L. Jackson,"Jul 22, 2011",140000000,176654505,370569776.0
Captain America: The First Avenger,2011,Hayley Atwell,"Jul 22, 2011",140000000,176654505,370569776.0
The Karate Kid,2010,Jackie Chan,"Jun 11, 2010",40000000,176591618,351774938.0
The Karate Kid,2010,Jaden Smith,"Jun 11, 2010",40000000,176591618,351774938.0
The Karate Kid,2010,Taraji P. Henson,"Jun 11, 2010",40000000,176591618,351774938.0
The Karate Kid,2010,Wenwen Han,"Jun 11, 2010",40000000,176591618,351774938.0
There's Something About Mary,1998,Cameron Diaz,"Jul 15, 1998",22000000,176484651,369884651.0
There's Something About Mary,1998,Matt Dillon,"Jul 15, 1998",22000000,176484651,369884651.0
There's Something About Mary,1998,Ben Stiller,"Jul 15, 1998",22000000,176484651,369884651.0
There's Something About Mary,1998,Lee Evans,"Jul 15, 1998",22000000,176484651,369884651.0
Ice Age,2002,Denis Leary,"Mar 15, 2002",65000000,176387405,386116343.0
Ice Age,2002,John Leguizamo,"Mar 15, 2002",65000000,176387405,386116343.0
Ice Age,2002,Ray Romano,"Mar 15, 2002",65000000,176387405,386116343.0
Ice Age,2002,Goran Visnjic,"Mar 15, 2002",65000000,176387405,386116343.0
The Bourne Supremacy,2004,Matt Damon,"Jul 23, 2004",85000000,176087450,311001124.0
The Bourne Supremacy,2004,Franka Potente,"Jul 23, 2004",85000000,176087450,311001124.0
The Bourne Supremacy,2004,Joan Allen,"Jul 23, 2004",85000000,176087450,311001124.0
The Bourne Supremacy,2004,Brian Cox,"Jul 23, 2004",85000000,176087450,311001124.0
Get Out,2017,Daniel Kaluuya,"Feb 24, 2017",5000000,175837935,252297405.0
Get Out,2017,Allison Williams,"Feb 24, 2017",5000000,175837935,252297405.0
Get Out,2017,Bradley Whitford,"Feb 24, 2017",5000000,175837935,252297405.0
Get Out,2017,Catherine Keener,"Feb 24, 2017",5000000,175837935,252297405.0
The Lego Batman Movie,2017,Will Arnett,"Feb 2, 2017",80000000,175750384,310563096.0
The Lego Batman Movie,2017,Michael Cera,"Feb 2, 2017",80000000,175750384,310563096.0
The Lego Batman Movie,2017,Rosario Dawson,"Feb 2, 2017",80000000,175750384,310563096.0
The Lego Batman Movie,2017,Ralph Fiennes,"Feb 2, 2017",80000000,175750384,310563096.0
Us,2019,Lupita Nyong'o,"Mar 20, 2019",20000000,175084580,256022707.0
Us,2019,Winston Duke,"Mar 20, 2019",20000000,175084580,256022707.0
Us,2019,Elisabeth Moss,"Mar 20, 2019",20000000,175084580,256022707.0
Us,2019,Tim Heidecker,"Mar 20, 2019",20000000,175084580,256022707.0
The Boss Baby,2017,Alec Baldwin,"Mar 17, 2017",125000000,175003033,527909949.0
The Boss Baby,2017,Steve Buscemi,"Mar 17, 2017",125000000,175003033,527909949.0
The Boss Baby,2017,Jimmy Kimmel,"Mar 17, 2017",125000000,175003033,527909949.0
The Boss Baby,2017,Lisa Kudrow,"Mar 17, 2017",125000000,175003033,527909949.0
Crocodile Dundee,1986,Paul Hogan,"Sep 26, 1986",8800000,174803506,328203506.0
Crocodile Dundee,1986,Linda Kozlowski,"Sep 26, 1986",8800000,174803506,328203506.0
Crocodile Dundee,1986,John Meillon,"Sep 26, 1986",8800000,174803506,328203506.0
Crocodile Dundee,1986,David Gulpilil,"Sep 26, 1986",8800000,174803506,328203506.0
Crazy Rich Asians,2018,Constance Wu,"Aug 15, 2018",30000000,174532921,237814149.0
Crazy Rich Asians,2018,Henry Golding,"Aug 15, 2018",30000000,174532921,237814149.0
Crazy Rich Asians,2018,Michelle Yeoh,"Aug 15, 2018",30000000,174532921,237814149.0
Crazy Rich Asians,2018,Gemma Chan,"Aug 15, 2018",30000000,174532921,237814149.0
The Greatest Showman,2017,Hugh Jackman,"Dec 11, 2017",84000000,174340174,432751430.0
The Greatest Showman,2017,Michelle Williams,"Dec 11, 2017",84000000,174340174,432751430.0
The Greatest Showman,2017,Zac Efron,"Dec 11, 2017",84000000,174340174,432751430.0
The Greatest Showman,2017,Zendaya,"Dec 11, 2017",84000000,174340174,432751430.0
Fast & Furious Presents: Hobbs & Shaw,2019,Dwayne Johnson,"Jul 31, 2019",200000000,173956935,760732926.0
Fast & Furious Presents: Hobbs & Shaw,2019,Jason Statham,"Jul 31, 2019",200000000,173956935,760732926.0
Fast & Furious Presents: Hobbs & Shaw,2019,Idris Elba,"Jul 31, 2019",200000000,173956935,760732926.0
Fast & Furious Presents: Hobbs & Shaw,2019,Vanessa Kirby,"Jul 31, 2019",200000000,173956935,760732926.0
Apollo 13,1995,Tom Hanks,"Jun 30, 1995",65000000,173772767,335802271.0
Apollo 13,1995,Bill Paxton,"Jun 30, 1995",65000000,173772767,335802271.0
Apollo 13,1995,Kevin Bacon,"Jun 30, 1995",65000000,173772767,335802271.0
Apollo 13,1995,Gary Sinise,"Jun 30, 1995",65000000,173772767,335802271.0
Home Alone 2: Lost in New York,1992,Macaulay Culkin,"Nov 20, 1992",20000000,173585516,358994850.0
Home Alone 2: Lost in New York,1992,Joe Pesci,"Nov 20, 1992",20000000,173585516,358994850.0
Home Alone 2: Lost in New York,1992,Daniel Stern,"Nov 20, 1992",20000000,173585516,358994850.0
Home Alone 2: Lost in New York,1992,Catherine O'Hara,"Nov 20, 1992",20000000,173585516,358994850.0
Elf,2003,Will Ferrell,"Nov 7, 2003",32000000,175531840,222344688.0
Elf,2003,James Caan,"Nov 7, 2003",32000000,175531840,222344688.0
Elf,2003,Bob Newhart,"Nov 7, 2003",32000000,175531840,222344688.0
Elf,2003,Zooey Deschanel,"Nov 7, 2003",32000000,175531840,222344688.0
National Treasure,2004,Nicolas Cage,"Nov 19, 2004",100000000,173005002,331323410.0
National Treasure,2004,Diane Kruger,"Nov 19, 2004",100000000,173005002,331323410.0
National Treasure,2004,Justin Bartha,"Nov 19, 2004",100000000,173005002,331323410.0
National Treasure,2004,Sean Bean,"Nov 19, 2004",100000000,173005002,331323410.0
Air Force One,1997,Harrison Ford,"Jul 25, 1997",85000000,172956409,315268353.0
Air Force One,1997,Gary Oldman,"Jul 25, 1997",85000000,172956409,315268353.0
Air Force One,1997,Glenn Close,"Jul 25, 1997",85000000,172956409,315268353.0
Air Force One,1997,Wendy Crewson,"Jul 25, 1997",85000000,172956409,315268353.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Johnny Depp,"May 23, 2017",230000000,172558876,794861794.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Geoffrey Rush,"May 23, 2017",230000000,172558876,794861794.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Javier Bardem,"May 23, 2017",230000000,172558876,794861794.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Orlando Bloom,"May 23, 2017",230000000,172558876,794861794.0
Mary Poppins Returns,2018,Emily Blunt,"Dec 19, 2018",130000000,171958438,348901032.0
Mary Poppins Returns,2018,Lin-Manuel Miranda,"Dec 19, 2018",130000000,171958438,348901032.0
Mary Poppins Returns,2018,Ben Whishaw,"Dec 19, 2018",130000000,171958438,348901032.0
Mary Poppins Returns,2018,Emily Mortimer,"Dec 19, 2018",130000000,171958438,348901032.0
The Matrix,1999,Keanu Reeves,"Mar 31, 1999",65000000,173993387,465974198.0
The Matrix,1999,Laurence Fishburne,"Mar 31, 1999",65000000,173993387,465974198.0
